# NDBC Active station ID|Name|URN|Lat|Lon
0y2w3|Sturgeon Bay CG Station, WS|urn:ioos:station:wmo:0y2w3|44.794|-87.313
32st0|Stratus|urn:ioos:station:wmo:32st0|-19.713|-85.585
41001|150 NM East of Cape HATTERAS|urn:ioos:station:wmo:41001|34.7|-72.73
41002|S HATTERAS - 250 NM East of Charleston, SC|urn:ioos:station:wmo:41002|32.382|-75.415
41004|EDISTO - 41 NM Southeast of Charleston, SC|urn:ioos:station:wmo:41004|32.5|-79.09
41008|GRAYS REEF - 40 NM Southeast of Savannah, GA|urn:ioos:station:wmo:41008|31.4|-80.87
41009|CANAVERAL 20 NM East of Cape Canaveral, FL|urn:ioos:station:wmo:41009|28.519|-80.166
41010|CANAVERAL EAST 120NM East of Cape Canaveral|urn:ioos:station:wmo:41010|28.91|-78.47
41012|40NM ENE of St Augustine, FL|urn:ioos:station:wmo:41012|30.04|-80.55
41013|Frying Pan Shoals, NC|urn:ioos:station:wmo:41013|33.44|-77.74
41024|Sunset Nearshore (SUN2)|urn:ioos:station:wmo:41024|33.85|-78.48
41029|Capers Nearshore (CAP2)|urn:ioos:station:wmo:41029|32.81|-79.63
41036|Onslow Bay, NC|urn:ioos:station:wmo:41036|34.21|-76.95
41037|ILM3 - 27 miles SE of Wrightsville Beach, NC|urn:ioos:station:wmo:41037|33.991|-77.36
41038|ILM2 - 5 miles SE of Wrightsville, NC|urn:ioos:station:wmo:41038|34.14|-77.71
41040|West Atlantic|urn:ioos:station:wmo:41040|14.48|-53.03
41041|Middle Atlantic|urn:ioos:station:wmo:41041|14.36|-46.01
41043|South Western Atlantic|urn:ioos:station:wmo:41043|20.99|-65.01
41044| Atlantic South|urn:ioos:station:wmo:41044|21.652|-58.695
41046|E Bahamas|urn:ioos:station:wmo:41046|24|-70.99
41047|NE Bahamas|urn:ioos:station:wmo:41047|27.47|-71.49
41048|W Bermuda|urn:ioos:station:wmo:41048|31.98|-69.65
41049|Atlantic (South)|urn:ioos:station:wmo:41049|27.5|-63
41052|South of St. John, Virgin Islands|urn:ioos:station:wmo:41052|18.251|-64.763
41053|San Juan, PR|urn:ioos:station:wmo:41053|18.476|-66.099
42001|MID GULF 180 nm South of Southwest Pass, LA|urn:ioos:station:wmo:42001|25.9|-89.67
42002|W GULF 240 nm South-Southeast of Sabine, TX|urn:ioos:station:wmo:42002|25.17|-94.42
42003|E GULF 262 nm South of Panama City, FL|urn:ioos:station:wmo:42003|25.74|-85.73
42012|Orange Beach AL Buoy|urn:ioos:station:wmo:42012|30.065|-87.555
42013|C10 - Navy-2|urn:ioos:station:wmo:42013|27.169|-82.926
42020|Corpus Christi, TX 50NM Southeast of Corpus Christi, TX|urn:ioos:station:wmo:42020|26.96|-96.7
42021|C14 - Pasco County Buoy, FL|urn:ioos:station:wmo:42021|28.311|-83.306
42022|C12 - West Florida Central Buoy|urn:ioos:station:wmo:42022|27.5|-83.72
42023|C13 - West Florida South Buoy|urn:ioos:station:wmo:42023|26.064|-83.074
42035|GALVESTON  22NM East of Galveston, TX|urn:ioos:station:wmo:42035|29.25|-94.41
42036|W. TAMPA  106NM West Northwest of Tampa, FL|urn:ioos:station:wmo:42036|28.5|-84.52
42040|MOBILE SOUTH 64 nm South of Dauphin Island, AL|urn:ioos:station:wmo:42040|29.21|-88.21
42044|PS-1126 TABS J|urn:ioos:station:wmo:42044|26.19|-97.05
42046|HI-A595 TABS N|urn:ioos:station:wmo:42046|27.89|-94.037
42055|Bay of Campeche|urn:ioos:station:wmo:42055|22.017|-94.046
42056|Yucatan Basin|urn:ioos:station:wmo:42056|19.87|-85.06
42057|Western Caribbean|urn:ioos:station:wmo:42057|16.83|-81.5
42058|Central Caribbean|urn:ioos:station:wmo:42058|15.09|-75.06
42059|Eastern Caribbean|urn:ioos:station:wmo:42059|15.01|-67.5
42060|Eastern Carribean|urn:ioos:station:wmo:42060|16.5|-63.5
42085|Southeast of Ponce, PR|urn:ioos:station:wmo:42085|17.86|-66.524
42360|BW Pioneer buoy - Walker Ridge 249|urn:ioos:station:wmo:42360|26.7|-90.46
42361|Auger - Garden Banks 426|urn:ioos:station:wmo:42361|27.55|-92.49
42362|Brutus - Green Canyon 158|urn:ioos:station:wmo:42362|27.8|-90.67
42363|Mars - Mississippi Canyon 807|urn:ioos:station:wmo:42363|28.16|-89.22
42364|Ram-Powell - Viosca Knoll 936|urn:ioos:station:wmo:42364|29.06|-88.09
42365|Ursa - Mississippi Canyon 809|urn:ioos:station:wmo:42365|28.2|-89.12
42369|Mad Dog - Green Canyon 782|urn:ioos:station:wmo:42369|27.19|-90.27
42370|Holstein - Green Canyon 645|urn:ioos:station:wmo:42370|27.32|-90.54
42375|Na Kika - Mississippi Canyon 474|urn:ioos:station:wmo:42375|28.52|-88.29
42376|Marlin - Viosca Knoll 915|urn:ioos:station:wmo:42376|29.16|-87.94
42390|Perdido Host - Alaminos Canyon 857|urn:ioos:station:wmo:42390|26.129|-94.898
42887|Thunder Horse - Mississippi Canyon 778|urn:ioos:station:wmo:42887|28.19|-88.5
44005|GULF OF MAINE 78 NM EAST OF PORTSMOUTH,NH|urn:ioos:station:wmo:44005|43.19|-69.14
44007|12 NM Southeast of Portland, ME|urn:ioos:station:wmo:44007|43.53|-70.14
44008|54NM Southeast of Nantucket|urn:ioos:station:wmo:44008|40.5|-69.43
44009|DELAWARE BAY 26 NM Southeast of Cape May, NJ|urn:ioos:station:wmo:44009|38.46|-74.7
44011|170 NM East of Hyannis, MA|urn:ioos:station:wmo:44011|41.11|-66.58
44013|BOSTON 16 NM East of Boston, MA|urn:ioos:station:wmo:44013|42.35|-70.69
44014|64 NM East of Virginia Beach, VA|urn:ioos:station:wmo:44014|36.61|-74.84
44018|SE Cape Cod, 30NM East of Nantucket, MA|urn:ioos:station:wmo:44018|41.26|-69.29
44020|NANTUCKET SOUND|urn:ioos:station:wmo:44020|41.443|-70.186
44022|Execution Rocks|urn:ioos:station:wmo:44022|40.88|-73.73
44024|Buoy N - Northeast Channel|urn:ioos:station:wmo:44024|42.312|-65.927
44025|LONG ISLAND 33 NM South of Islip, NY|urn:ioos:station:wmo:44025|40.25|-73.17
44027|Jonesport, Maine|urn:ioos:station:wmo:44027|44.27|-67.31
44029|Buoy A0102 - Mass. Bay/Stellwagen|urn:ioos:station:wmo:44029|42.52|-70.57
44030|Buoy B0102 - Western Maine Shelf|urn:ioos:station:wmo:44030|43.18|-70.43
44032|Buoy E0104 - Central Maine Shelf|urn:ioos:station:wmo:44032|43.71|-69.36
44033|Buoy F0103 - West Penobscot Bay|urn:ioos:station:wmo:44033|44.06|-69
44034|Buoy I0103 - Eastern Maine Shelf|urn:ioos:station:wmo:44034|44.11|-68.11
44037|Buoy M0102 - Jordan Basin|urn:ioos:station:wmo:44037|43.49|-67.88
44039|Central Long Island Sound|urn:ioos:station:wmo:44039|41.138|-72.655
44040|Western Long Island Sound|urn:ioos:station:wmo:44040|40.956|-73.58
44041|Jamestown, VA|urn:ioos:station:wmo:44041|37.204|-76.777
44042|Potomac, MD|urn:ioos:station:wmo:44042|38.033|-76.336
44043|Patapsco, MD|urn:ioos:station:wmo:44043|39.152|-76.391
44057|Susquehanna, MD|urn:ioos:station:wmo:44057|39.544|-76.075
44058|Stingray Point, VA|urn:ioos:station:wmo:44058|37.552|-76.251
44059|Norfolk, VA|urn:ioos:station:wmo:44059|36.846|-76.298
44061|Upper Potmac, MD|urn:ioos:station:wmo:44061|38.785|-77.036
44062|Gooses Reef, MD|urn:ioos:station:wmo:44062|38.553|-76.415
44063|Annapolis|urn:ioos:station:wmo:44063|38.963|-76.448
44064|FIRST LANDING|urn:ioos:station:wmo:44064|36.979|-76.043
44065|Entrance to New York Harbor|urn:ioos:station:wmo:44065|40.369|-73.703
44067|Potomac River, Near HWY 301|urn:ioos:station:wmo:44067|38.368|-76.996
45001|MID SUPERIOR 60NM North Northeast Hancock, MI|urn:ioos:station:wmo:45001|48.06|-87.78
45002|N MICHIGAN- Halfway between North Manitou and Washington Islands.|urn:ioos:station:wmo:45002|45.33|-86.43
45003|N HURON 37NM Northeast of Alpena, MI.|urn:ioos:station:wmo:45003|45.35|-82.84
45004|78NM Northeast of Marquette, MI|urn:ioos:station:wmo:45004|47.56|-86.54
45005|W ERIE 28NM Northwest of Cleveland, OH|urn:ioos:station:wmo:45005|41.68|-82.4
45006|W SUPERIOR 48NM North of Ironwood, MI|urn:ioos:station:wmo:45006|47.33|-89.79
45007|S MICHIGAN 43NM East Southeast of Milwaukee, WI|urn:ioos:station:wmo:45007|42.68|-87.03
45008|S HURON 43NM East of Oscoda, MI|urn:ioos:station:wmo:45008|44.28|-82.42
45012|Lake Ontario Buoy - 20NM North Northeast of Rochester, NY|urn:ioos:station:wmo:45012|43.62|-77.41
45013|Atwater Park, WI|urn:ioos:station:wmo:45013|43.098|-87.85
45014|Central Green Bay, WI|urn:ioos:station:wmo:45014|44.795|-87.759
45022|Little Traverse Bay, MI|urn:ioos:station:wmo:45022|45.403|-85.088
45023|Portage Canal|urn:ioos:station:wmo:45023|47.279|-88.611
45024|Ludington, MI|urn:ioos:station:wmo:45024|43.977|-86.56
45025|South Entrance to Keweenaw Waterway, MI|urn:ioos:station:wmo:45025|46.95|-88.409
45026|St. Joseph, MI|urn:ioos:station:wmo:45026|41.983|-86.617
45027|North of Duluth, MN|urn:ioos:station:wmo:45027|46.864|-91.929
45028|Western Lake Superior|urn:ioos:station:wmo:45028|46.812|-91.835
45029|Holland, MI|urn:ioos:station:wmo:45029|42.801|-86.264
45161|Muskegon, MI|urn:ioos:station:wmo:45161|43.179|-86.336
