# NOS Active station ID|Name|URN|Lat|Lon
1611400|Nawiliwili, HI|urn:ioos:station:NOAA.NOS.CO-OPS:1611400|21.9544|-159.3561
1612340|Honolulu, HI|urn:ioos:station:NOAA.NOS.CO-OPS:1612340|21.3067|-157.867
1612480|Mokuoloe, HI|urn:ioos:station:NOAA.NOS.CO-OPS:1612480|21.4331|-157.79
1615680|Kahului, Kahului Harbor, HI|urn:ioos:station:NOAA.NOS.CO-OPS:1615680|20.895|-156.4767
1617433|Kawaihae, HI|urn:ioos:station:NOAA.NOS.CO-OPS:1617433|20.0366|-155.8294
1617760|Hilo, Hilo Bay, Kuhio Bay, HI|urn:ioos:station:NOAA.NOS.CO-OPS:1617760|19.7303|-155.0558
1619910|Sand Island, Midway Islands|urn:ioos:station:NOAA.NOS.CO-OPS:1619910|28.2117|-177.36
1630000|Apra Harbor, Guam|urn:ioos:station:NOAA.NOS.CO-OPS:1630000|13.4387|144.6539
1631428|Pago Bay, Guam|urn:ioos:station:NOAA.NOS.CO-OPS:1631428|13.4283|144.797
1770000|Pago Pago, American Samoa|urn:ioos:station:NOAA.NOS.CO-OPS:1770000|-14.28|-170.69
1820000|Kwajalein, Marshall Islands|urn:ioos:station:NOAA.NOS.CO-OPS:1820000|8.7316|167.7362
1890000|Wake Island, Pacific Ocean|urn:ioos:station:NOAA.NOS.CO-OPS:1890000|19.29|166.618
2695540|Bermuda, St. Georges Island|urn:ioos:station:NOAA.NOS.CO-OPS:2695540|32.3734|-64.7033
8311030|Ogdensburg, NY|urn:ioos:station:NOAA.NOS.CO-OPS:8311030|44.7029|-75.4944
8311062|Alexandria Bay, NY|urn:ioos:station:NOAA.NOS.CO-OPS:8311062|44.3311|-75.9345
8410140|Eastport, ME|urn:ioos:station:NOAA.NOS.CO-OPS:8410140|44.9046|-66.9829
8411060|Cutler Farris Wharf, ME|urn:ioos:station:NOAA.NOS.CO-OPS:8411060|44.6567|-67.21
8413320|Bar Harbor, ME|urn:ioos:station:NOAA.NOS.CO-OPS:8413320|44.3917|-68.205
8416921|Wiscasset, ME|urn:ioos:station:NOAA.NOS.CO-OPS:8416921|44.0|-69.6667
8417087|Phipps Pt., ME|urn:ioos:station:NOAA.NOS.CO-OPS:8417087|43.8983|-69.7433
8417143|Augusta, Calumet Bridge, Kennebec River, ME|urn:ioos:station:NOAA.NOS.CO-OPS:8417143|44.3168|-69.7721
8418150|Portland, ME|urn:ioos:station:NOAA.NOS.CO-OPS:8418150|43.6567|-70.2467
8419317|Wells, ME|urn:ioos:station:NOAA.NOS.CO-OPS:8419317|43.32|-70.5633
8423898|Fort Point, NH|urn:ioos:station:NOAA.NOS.CO-OPS:8423898|43.0717|-70.7117
8443970|Boston, MA|urn:ioos:station:NOAA.NOS.CO-OPS:8443970|42.3548|-71.0534
8447386|Fall River, MA|urn:ioos:station:NOAA.NOS.CO-OPS:8447386|41.7043|-71.1641
8447435|Chatham, MA|urn:ioos:station:NOAA.NOS.CO-OPS:8447435|41.6885|-69.9511
8447930|Woods Hole, MA|urn:ioos:station:NOAA.NOS.CO-OPS:8447930|41.5233|-70.6717
8449130|Nantucket Island, MA|urn:ioos:station:NOAA.NOS.CO-OPS:8449130|41.285|-70.0967
8452660|Newport, RI|urn:ioos:station:NOAA.NOS.CO-OPS:8452660|41.505|-71.3267
8452944|Conimicut Light, RI|urn:ioos:station:NOAA.NOS.CO-OPS:8452944|41.7167|-71.3433
8454000|Providence, RI|urn:ioos:station:NOAA.NOS.CO-OPS:8454000|41.8071|-71.4012
8454049|Quonset Point, RI|urn:ioos:station:NOAA.NOS.CO-OPS:8454049|41.5868|-71.411
8461490|New London, CT|urn:ioos:station:NOAA.NOS.CO-OPS:8461490|41.3614|-72.09
8465705|New Haven, CT|urn:ioos:station:NOAA.NOS.CO-OPS:8465705|41.2833|-72.9083
8467150|Bridgeport, CT|urn:ioos:station:NOAA.NOS.CO-OPS:8467150|41.1733|-73.1817
8510560|Montauk, NY|urn:ioos:station:NOAA.NOS.CO-OPS:8510560|41.0483|-71.96
8516945|Kings Point, NY|urn:ioos:station:NOAA.NOS.CO-OPS:8516945|40.8103|-73.7649
8518750|The Battery, NY|urn:ioos:station:NOAA.NOS.CO-OPS:8518750|40.7006|-74.0142
8519483|Bergen Point West Reach, NY|urn:ioos:station:NOAA.NOS.CO-OPS:8519483|40.6367|-74.1417
8531680|Sandy Hook, NJ|urn:ioos:station:NOAA.NOS.CO-OPS:8531680|40.4669|-74.0094
8534720|Atlantic City, NJ|urn:ioos:station:NOAA.NOS.CO-OPS:8534720|39.355|-74.4183
8536110|Cape May, NJ|urn:ioos:station:NOAA.NOS.CO-OPS:8536110|38.9683|-74.96
8537121|Ship John Shoal, NJ|urn:ioos:station:NOAA.NOS.CO-OPS:8537121|39.305|-75.375
8539094|Burlington, Delaware River, NJ|urn:ioos:station:NOAA.NOS.CO-OPS:8539094|40.0817|-74.8697
8545240|Philadelphia, PA|urn:ioos:station:NOAA.NOS.CO-OPS:8545240|39.9333|-75.1417
8548989|Newbold, PA|urn:ioos:station:NOAA.NOS.CO-OPS:8548989|40.1367|-74.7517
8551762|Delaware City, DE|urn:ioos:station:NOAA.NOS.CO-OPS:8551762|39.5817|-75.5883
8551910|Reedy Point, DE|urn:ioos:station:NOAA.NOS.CO-OPS:8551910|39.5583|-75.5733
8555889|Brandywine Shoal Light, DE|urn:ioos:station:NOAA.NOS.CO-OPS:8555889|38.9867|-75.1133
8557380|Lewes, DE|urn:ioos:station:NOAA.NOS.CO-OPS:8557380|38.7817|-75.12
8570283|Ocean City Inlet, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8570283|38.3283|-75.0917
8571421|Bishops Head, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8571421|38.22|-76.0383
8571892|Cambridge, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8571892|38.5733|-76.0683
8573364|Tolchester Beach, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8573364|39.2133|-76.245
8573927|Chesapeake City, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8573927|39.5267|-75.81
8574680|Baltimore, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8574680|39.2667|-76.5783
8575512|Annapolis, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8575512|38.9833|-76.4816
8577330|Solomons Island, MD|urn:ioos:station:NOAA.NOS.CO-OPS:8577330|38.3167|-76.4517
8594900|Washington, DC|urn:ioos:station:NOAA.NOS.CO-OPS:8594900|38.8733|-77.0217
8631044|Wachapreague, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8631044|37.6078|-75.6858
8632200|Kiptopeke, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8632200|37.1652|-75.9884
8635750|Lewisetta, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8635750|37.9961|-76.4644
8636580|Windmill Point, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8636580|37.6162|-76.29
8637689|Yorktown USCG Training Center, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8637689|37.2267|-76.4783
8638610|Sewells Point, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8638610|36.9467|-76.33
8638863|Chesapeake Bay Bridge Tunnel, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8638863|36.9667|-76.1133
8639348|Money Point, VA|urn:ioos:station:NOAA.NOS.CO-OPS:8639348|36.7783|-76.3017
8651370|Duck, NC|urn:ioos:station:NOAA.NOS.CO-OPS:8651370|36.1833|-75.7467
8652587|Oregon Inlet Marina, NC|urn:ioos:station:NOAA.NOS.CO-OPS:8652587|35.795|-75.5483
8654467|USCG Station Hatteras, NC|urn:ioos:station:NOAA.NOS.CO-OPS:8654467|35.2086|-75.7042
8656483|Beaufort, NC|urn:ioos:station:NOAA.NOS.CO-OPS:8656483|34.72|-76.67
8658120|Wilmington, NC|urn:ioos:station:NOAA.NOS.CO-OPS:8658120|34.2267|-77.9533
8658163|Wrightsville Beach, NC|urn:ioos:station:NOAA.NOS.CO-OPS:8658163|34.2133|-77.7867
8661070|Springmaid Pier, SC|urn:ioos:station:NOAA.NOS.CO-OPS:8661070|33.655|-78.9183
8662245|Oyster Landing (N Inlet Estuary), SC|urn:ioos:station:NOAA.NOS.CO-OPS:8662245|33.3517|-79.1867
8665530|Charleston, SC|urn:ioos:station:NOAA.NOS.CO-OPS:8665530|32.7817|-79.925
8670870|Fort Pulaski, GA|urn:ioos:station:NOAA.NOS.CO-OPS:8670870|32.0333|-80.9017
8720030|Fernandina Beach, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8720030|30.6717|-81.465
8720218|Mayport (Bar Pilots Dock), FL|urn:ioos:station:NOAA.NOS.CO-OPS:8720218|30.3967|-81.43
8720219|Dames Point, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8720219|30.3867|-81.5583
8720226|Southbank Riverwalk, St Johns River, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8720226|30.32|-81.6583
8720357|I-295 Bridge, St Johns River, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8720357|30.1917|-81.6917
8720503|Red Bay Point, St Johns River, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8720503|29.9783|-81.6283
8720625|Racy Point, St Johns River, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8720625|29.8017|-81.5483
